Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ticker,Company
10/18/21,4463.720215,4488.75,4447.470215,4486.459961,2683540000,0,0,^GSPC,S&P 500
10/19/21,4497.339844,4520.399902,4496.410156,4519.629883,2531210000,0,0,^GSPC,S&P 500
10/20/21,4524.419922,4540.870117,4524.399902,4536.189941,2671560000,0,0,^GSPC,S&P 500
10/21/21,4532.240234,4551.439941,4526.890137,4549.779785,3016950000,0,0,^GSPC,S&P 500
10/22/21,4546.120117,4559.669922,4524,4544.899902,3062810000,0,0,^GSPC,S&P 500
10/25/21,4553.689941,4572.620117,4537.359863,4566.47998,3250210000,0,0,^GSPC,S&P 500
10/26/21,4578.689941,4598.529785,4569.169922,4574.790039,2866500000,0,0,^GSPC,S&P 500
10/27/21,4580.220215,4584.569824,4551.660156,4551.680176,3259510000,0,0,^GSPC,S&P 500
10/28/21,4562.839844,4597.549805,4562.839844,4596.419922,3197560000,0,0,^GSPC,S&P 500
10/29/21,4572.870117,4608.080078,4567.589844,4605.379883,3632260000,0,0,^GSPC,S&P 500
11/1/21,4610.620117,4620.339844,4595.060059,4613.669922,2924000000,0,0,^GSPC,S&P 500
10/18/21,35221.01953,35327.57031,35035.94141,35258.60938,312640000,0,0,^DJI,DJIA
10/19/21,35325.37109,35462.67969,35290.12109,35457.30859,278510000,0,0,^DJI,DJIA
10/20/21,35475.16016,35669.69141,35465.71094,35609.33984,265750000,0,0,^DJI,DJIA
10/21/21,35520.32031,35612.35938,35442.53125,35603.07813,298390000,0,0,^DJI,DJIA
10/22/21,35607.71875,35765.01953,35533.94922,35677.01953,346290000,0,0,^DJI,DJIA
10/25/21,35692.62109,35787.03906,35629.37109,35741.14844,267220000,0,0,^DJI,DJIA
10/26/21,35791.05078,35892.92188,35734.73047,35756.87891,321910000,0,0,^DJI,DJIA
10/27/21,35835.42969,35835.42969,35490.42969,35490.69141,354180000,0,0,^DJI,DJIA
10/28/21,35545.41016,35742.25,35545.41016,35730.48047,337400000,0,0,^DJI,DJIA
10/29/21,35712.28125,35852.53125,35633.19922,35819.55859,399400000,0,0,^DJI,DJIA
11/1/21,35833.64844,36009.73828,35797.96875,35913.83984,292880000,0,0,^DJI,DJIA
